Ind,Y1,Y2,X1,X2,A,B,X3
HG00131,-0.017346282,-0.046106771,-1.278055564,0.318359497,3,2,0.00730327
HG00132,1.708642748,0.068882642,-0.17698361,-1.05084868,5,6,0.43510809
HG00133,-0.577309541,-0.198438808,-0.99223566,-0.081491944,1,2,0.607891346
HG00136,0.321468217,-1.02861165,-0.628668006,-0.686067846,5,6,0.727939587
HG00137,-0.315853917,0.427129479,-1.191511175,-0.326017908,3,4,0.601896773
HG00138,-0.489875396,0.604780523,-1.55710346,0.986575032,4,2,0.826637416
HG00139,-0.282859387,-1.062866621,1.25883228,-0.633261701,3,6,0.611268621
HG00140,-0.17828974,0.867392473,-0.204089219,-0.368930409,2,3,0.437964309
HG00141,0.67295028,-0.630213383,1.299998547,-0.635317352,1,4,0.285068519
HG00142,0.912052644,0.056687776,1.44461381,-0.497523144,4,3,0.908315331
HG00143,-0.697858493,0.187246425,-0.880566169,0.579232997,1,6,0.682730062
HG00145,-0.406866647,0.926952664,-1.217478993,-0.348938048,2,1,0.677049446
HG00146,-0.642385337,2.243476573,-1.735542966,-0.141323316,5,1,0.784942631
HG00148,0.349261289,0.53874571,-1.249864181,-1.006004027,2,1,0.682293531
HG00149,-1.217933012,0.367294344,-0.241754463,-0.901374143,1,2,0.455913178
HG00150,0.509022246,0.244295134,0.084907279,-1.794428958,1,5,0.192996524
HG00151,0.128836302,1.851978133,0.044734438,-0.785282164,2,6,0.182130248
HG00154,0.173289469,-0.92638072,-0.127472184,1.101685505,1,2,0.521489694
HG00155,0.32371381,-0.405798635,1.605556759,0.845752147,4,4,0.221113011
HG00157,-0.401988672,0.938527892,0.048462003,-0.680425734,1,2,0.967037516
HG00158,0.615663731,1.709086414,-0.693056407,0.218241783,4,6,0.901096713
HG00159,-0.974498045,-1.642307934,0.244818819,1.145128155,2,1,0.799387894
HG00160,2.205706241,0.797162775,1.308898622,0.099558662,5,3,0.949158235
HG00171,-1.186209461,0.879050707,0.002247207,0.769930648,1,1,0.894585454
HG00173,0.657265684,-0.213760263,0.706046387,0.307727062,5,3,0.484100497
HG00174,0.754708992,-0.416854879,-2.312724727,-0.570493694,1,5,0.945118836
HG00176,0.037460924,-0.917898587,-0.12472966,1.510349641,3,4,0.513825841
HG00177,-0.535520323,-0.394922467,0.071952804,1.529055244,1,2,0.434213651
HG00178,0.294326625,-0.058490552,-0.101592603,-0.302506647,1,2,0.843588627
HG00179,-0.074967369,-0.545035538,-0.785676016,-1.020004056,5,6,0.158910303
HG00180,0.951330371,1.995420119,0.157013813,0.208050177,4,6,0.142418939
HG00181,-1.516057488,1.823712304,0.143060024,-0.648808104,5,3,0.6350291
HG00182,-1.001831367,0.221429548,0.375538154,-0.575218832,2,5,0.762025859
HG00183,0.540020231,-0.853041596,0.356771348,0.701626156,1,4,0.397554147
HG00185,-0.423834227,0.002631966,1.144744499,0.182341707,3,2,0.537059703
HG00186,-0.237329443,0.359491828,-0.664508644,-0.267067222,2,1,0.384716327
HG00187,-0.219747186,0.067381204,-1.228579932,-1.393364012,3,6,0.23130884
HG00188,1.538377085,0.402055437,-0.249421397,0.44154445,3,3,0.348654905
HG00189,1.402646816,-0.276211749,0.758837312,0.750729023,1,5,0.071969544
HG00190,-0.466044138,-0.126540721,-0.433097088,-1.506001944,2,6,0.187324432
HG00231,-0.068178837,0.288387196,0.291694515,-1.074412012,2,4,0.318772151
HG00232,-0.293020915,0.510510094,-0.057954702,0.014574823,5,1,0.919098995
HG00233,1.944416849,1.56904349,0.554723538,0.278569686,5,4,0.407267702
HG00234,0.615725825,0.59737773,2.573231451,0.178670561,2,1,0.432099028
HG00235,-0.108903318,0.501959132,-0.476197237,0.600350154,2,2,0.543104177
HG00236,2.778051654,0.180276494,-0.615229867,0.762333367,3,2,0.130172131
HG00237,-0.280709537,-1.258035197,1.808439214,-0.567937959,2,4,0.522486423
HG00238,-1.006934304,0.482558365,1.133968762,-0.210371213,4,2,0.059533667
HG00239,-0.732694143,0.338062688,-1.556609062,-0.197031463,5,6,0.523581486
HG00240,-0.638644947,-2.893827151,-0.704662043,1.79943543,2,5,0.950034522
HG00242,-1.199718928,-1.366870672,-0.144139694,-1.253574439,5,3,0.953328096
HG00243,1.574715211,0.633882256,0.579043692,0.058890934,2,4,0.655324052
HG00244,-0.842776725,0.462103332,-0.879428208,1.363773956,1,6,0.936058087
HG00245,0.520596323,-0.25536957,0.114481595,-0.362137424,2,5,0.983609618
HG00246,0.363317519,-0.170615952,-1.254212166,0.764871964,3,1,0.100181209
HG00250,1.153888616,-0.382636465,0.480348713,-0.241342623,3,2,0.202610089
HG00251,-0.218634936,-1.021346248,0.864697331,-0.73335813,4,1,0.593879699
HG00252,-1.909945888,1.055463586,1.593583,-0.07317101,1,3,0.052015736
HG00253,-0.05491934,-0.480143707,-0.173873264,0.238222389,2,4,0.821917289
HG00254,1.105089431,-0.647501419,1.178381839,-1.411107365,4,5,0.518623883
HG00255,-1.046126501,-0.322848351,1.262300905,-0.110604745,2,4,0.174132736
HG00256,0.799302498,0.817767656,-1.141585035,-0.532249753,5,4,0.212008785
HG00257,1.375475109,-0.80575096,0.44994318,-1.553162211,1,3,0.722300335
HG00258,-0.021187852,0.335186769,1.700757708,-0.948052568,3,3,0.884617209
HG00259,-2.075790678,1.310787443,-0.593554709,-1.385468049,5,4,0.204182492
HG00260,0.069429514,0.471107591,-1.24451155,0.112307209,1,4,0.955133145
HG00261,0.8423276,0.391702892,-1.490225653,0.169233265,4,6,0.30187337
HG00262,-1.644462328,0.892297387,1.528978606,0.283869785,3,5,0.868961073
HG00263,0.048216345,1.564508946,-0.25492512,0.735919032,1,1,0.469300739
HG00264,0.334724061,0.739810429,0.324171357,-0.640955292,4,3,0.54372164
HG00265,0.453129059,-1.233069478,-0.496374903,-0.197062435,3,6,0.232636181
HG00266,0.366821919,0.01225357,-0.626909277,-0.634775127,5,2,0.134666023
HG00267,1.168313388,-1.081314355,0.13883457,-1.463906693,1,3,0.575541541
HG00268,0.11550172,-0.531999153,-0.753511764,1.241255901,5,6,0.985543532
HG00269,-0.788662324,-1.80868528,-0.863234,-1.080801774,2,2,0.333368805
HG00271,0.484143316,2.0421444,-0.44812963,0.466667771,4,4,0.681299523
HG00272,-0.249852892,0.077215023,-0.675170779,-0.592568805,3,5,0.681361147
HG00273,-1.180855247,-0.619389919,0.74803149,-1.091053931,1,5,0.062892537
HG00274,-0.627404103,-0.619568658,0.287055697,-2.756688907,2,6,0.24608203
HG00275,-1.361802297,-1.108192209,0.243789196,0.60179256,2,5,0.494557969
HG00276,-1.017094058,0.24170778,1.581168806,1.353393665,2,4,0.107909917
HG00277,0.3142337,-0.172201113,-0.613692335,0.227009726,4,5,0.802340837
HG00278,-1.213923053,0.26010393,0.181849214,-0.19214968,3,4,0.650225849
HG00280,0.99159697,0.523074291,1.118615725,0.555360032,4,4,0.418364105
HG00281,-1.444467085,-1.729119777,1.115616335,-0.386988171,3,3,0.137786483
HG00282,-1.020051553,1.338226895,-1.583341776,-0.219956894,5,6,0.858459575
HG00284,2.104482291,0.74469864,0.782011128,1.209299823,2,5,0.311875503
HG00285,-0.660561205,0.751560272,-1.395357791,-1.22247975,1,4,0.473879475
HG00288,0.584201922,1.61984914,-0.442283144,0.281437469,3,6,0.608676735
HG00290,0.864388201,-0.718534347,-0.398265574,-1.014509835,3,6,0.340643617
HG00304,0.797181401,0.718859441,-1.027101946,0.734633103,3,4,0.185897597
HG00306,1.29430971,0.78330023,-0.063048169,-1.391101205,4,3,0.144168204
HG00308,-1.443221666,-0.811070236,1.412563,-0.133249112,1,6,0.942461603
HG00309,0.663681703,-0.685171256,1.051336183,1.589134745,5,6,0.54517475
HG00310,-1.912929934,0.495229197,-0.792793161,-0.481332853,3,1,0.893803079
HG00311,-2.020670554,1.951167053,0.500921021,-0.296248263,5,5,0.822712458
HG00313,-0.747210733,1.236087932,-2.142303992,0.428683177,1,1,0.5640983
HG00315,-0.078034041,-1.041600781,-0.334487725,-1.634764645,2,3,0.893152101
HG00318,-1.249658842,1.095398477,-1.085817403,1.70787817,3,3,0.84933581
HG00319,0.82931409,0.374467317,1.369925817,1.482703666,4,5,0.730660467
HG00320,0.269991457,1.238042143,-0.000181608,-0.514489705,3,6,0.567815129
HG00321,0.950532068,-2.0476829,-1.298996129,-0.799610268,4,1,0.311428327
HG00323,0.246065863,-1.244305424,-0.689285135,0.298114745,1,2,0.51129007
HG00324,-1.644650841,-0.328136031,-0.038407539,0.628820996,3,2,0.189295255
HG00325,-0.201824878,-0.046710996,0.777576415,-1.01802852,4,4,0.504069326
HG00326,0.001610852,-0.276649394,-0.306749549,-1.539108522,1,3,0.504368484
HG00327,1.990373789,2.007743495,0.520559053,1.163446959,2,1,0.245419828
HG00328,-0.51332339,0.722157232,0.43540534,-1.955286719,3,2,0.349799079
HG00329,0.44968959,-0.684661212,-0.741883386,0.175519155,2,6,0.606841526
HG00330,-1.920769918,-0.11003177,-0.718411152,-1.423786581,3,4,0.998599629
HG00331,-0.204102034,0.681936391,2.165585416,0.449761917,5,1,0.355190585
HG00332,1.078167771,-0.306954639,-0.520616433,0.428112512,3,1,0.867375876
HG00334,-2.579229177,0.313205988,0.396824135,1.046335519,3,4,0.588418361
HG00335,-1.128308141,0.884045998,-0.392495198,0.640437185,4,1,0.697159109
HG00336,0.979993307,0.595160767,-1.093082121,0.197319077,4,5,0.625652553
HG00337,0.758112001,0.064420842,0.665306485,0.393566047,4,1,0.19697656
HG00338,0.664726847,-0.619706402,-0.354550484,-0.76082839,1,4,0.909543969
HG00339,-0.510257485,1.565115042,0.93230245,0.817482802,5,2,0.541901323
HG00341,-0.380698272,-1.587418002,-1.118244405,-0.639796713,1,1,0.662233635
HG00342,0.655830189,1.496217108,-0.133856223,1.567846382,4,6,0.063196466
HG00343,0.187140167,-0.621370361,1.052809004,0.664478587,3,5,0.583205322
HG00344,0.321013176,-0.449275805,-0.013456555,0.676105128,1,6,0.548381809
HG00345,-0.604600672,-1.162683628,-0.056797211,0.854482226,4,6,0.908067936
HG00346,-1.085913287,-2.491014728,-0.684464174,0.199032378,2,3,0.388872476
HG00349,0.560714899,2.275480361,-0.17123598,-0.649961352,2,1,0.452657779
HG00350,-1.064424697,-0.23424855,0.526290212,1.549646693,3,5,0.258019914
HG00351,-0.784871538,-0.973151242,0.034447613,0.989942412,1,3,0.727074123
HG00353,-0.744610641,0.277439879,-1.22634168,0.05850903,1,6,0.039924973
HG00355,-0.182442742,0.869669116,1.016609377,1.270775128,4,1,0.028178202
HG00356,-0.537748679,0.805522538,-0.715365682,0.373357454,2,4,0.466314182
HG00357,-0.35523332,-0.043020681,1.299970479,0.154769963,5,4,0.233074573
HG00358,-0.892788571,0.915361842,0.415170509,-0.187969419,4,5,0.47737661
HG00360,0.456035168,-1.006670957,-0.421677543,0.039864024,4,6,0.994481113
HG00361,-0.439189293,0.379148659,0.162226042,0.799128292,4,1,0.038739631
HG00362,0.137345997,1.800395878,0.301480744,0.237528191,3,5,0.360121032
HG00364,0.176175019,-0.811304066,-0.561049166,1.707501104,5,2,0.486645754
HG00365,0.229733345,-0.950484649,1.215301387,0.10467229,3,6,0.074857528
HG00366,-0.2028374,-0.353198468,-0.943107451,0.301127398,3,1,0.155233442
HG00367,-0.944225221,0.061867021,0.027801938,0.216434541,4,5,0.107617018
HG00368,0.712023651,-0.342700987,0.413508913,1.244632771,1,2,0.088093531
HG00369,2.382880134,-0.153439898,-0.653945126,-1.42943707,4,3,0.870285334
HG00371,1.048852196,0.451280156,0.076198186,0.084050402,2,1,0.525108031
HG00372,1.32626904,0.042579434,0.98351574,0.533391816,3,3,0.115261302
HG00373,-0.414901698,-0.98948766,-0.659872605,1.236529669,2,6,0.396440856
HG00375,0.111930545,1.270632741,-1.634887976,-0.997158892,1,3,0.925112834
HG00376,-0.553090338,-0.601922014,0.16097984,-0.249775539,5,4,0.12740247
HG00378,-0.021882437,0.0644921,-0.049594078,0.026519626,1,3,0.190604445
HG00379,-0.033440251,-0.15694043,0.524879725,-0.489630384,4,2,0.879959951
HG00380,-1.247632389,-0.5818984,-0.830797486,-1.523789086,4,4,0.56810299
HG00381,-0.531591886,-2.218114141,0.211421417,-0.88644023,4,3,0.921913575
HG00382,-0.573460511,-0.674808207,-1.462972802,0.505780294,2,4,0.767575473
HG00383,1.460006863,-0.479040121,-1.712743251,-1.409169735,2,1,0.942198055
HG00384,0.589297709,-1.989578223,0.376972087,-0.42477247,5,6,0.507317136
HG00403,0.930777325,-0.490267112,-2.231602265,1.608446187,1,1,0.469563212
HG00404,1.742000764,0.359201306,-0.730864459,1.01685069,4,1,0.701205551
HG00406,0.00713043,-1.514910461,0.315103735,-0.651995773,5,6,0.235002944
HG00407,0.061397009,-1.283942493,-1.502785489,0.682384463,3,4,0.95945113
HG00409,-0.072378363,0.801479592,0.851738798,-1.059483118,2,3,0.594087919
HG00410,0.573260562,0.688988078,0.982821295,2.202689402,1,1,0.582996685
HG00419,-0.85956765,-0.497109751,-1.928760297,0.539574749,5,3,0.566460791
HG00421,-0.412951719,-1.627062708,1.017823295,-1.165710305,4,4,0.163775651
HG00422,0.455442207,1.3099474,1.390414414,-2.041833206,4,6,0.858070916
HG00428,1.497392069,0.417961301,-0.537303976,0.18781477,5,4,0.581567964
HG00436,-0.38785245,-0.545365442,-0.560265027,0.750117328,5,2,0.568021595
HG00437,-0.33396009,-1.607296598,0.739914931,1.015608775,5,3,0.953813516
HG00442,0.613979293,-0.148914991,-0.525766684,-0.492452102,3,5,0.1783679
HG00443,0.723986078,-1.713465578,0.903226404,-0.044934244,4,5,0.453110768
HG00445,0.442409346,-0.194315296,-1.422905514,-0.335918231,4,5,0.303567561
HG00446,0.328520709,0.510415244,0.705799317,-0.439824075,3,5,0.217658512
HG00448,0.029469564,-1.137086831,0.087859744,0.382760943,4,3,0.372990778
HG00449,0.009503507,1.127002061,-0.577743998,0.477007494,3,2,0.387981243
HG00451,1.070842321,0.309155871,-0.268762293,1.484467389,4,1,0.196916241
HG00452,-0.35919814,-2.130645988,0.000604396,-0.242406289,4,5,0.577167912
HG00457,-0.312334659,0.18046956,0.825543718,-1.515558031,4,6,0.634057198
HG00458,0.818384942,0.406140675,0.943056367,-0.766510175,4,5,0.397386842
HG00463,0.189595294,-1.150884145,0.547554891,-0.135420195,4,4,0.223387371
HG00464,1.691179823,0.010823658,1.609514227,-0.477292901,4,6,0.132037718
HG00472,1.2763739,0.485212134,-1.332689244,0.50141429,1,1,0.53505341
HG00473,0.425137317,0.466278539,-0.832335277,-0.174730046,3,6,0.082814417
HG00475,-0.367256373,0.860973719,-1.262084553,-0.150363027,4,4,0.636957
HG00476,0.529385848,0.360397814,2.397819049,3.392253918,5,5,0.337380701
HG00478,-0.056848128,1.00024068,-0.693811063,-0.28906919,1,3,0.998028902
HG00479,0.579750169,1.19988166,-1.024881087,0.289309673,2,4,0.529467268
HG00500,1.172180765,0.228264774,-0.126343454,-0.553570742,5,5,0.831956498
HG00513,-0.894219697,0.286331546,0.383798272,-2.152879003,3,5,0.278981946
HG00524,2.097634354,0.667408977,-2.551069024,1.059244724,4,1,0.157311823
HG00525,-0.031303701,-0.313728556,1.278072299,0.548043921,1,3,0.634443681
HG00530,-0.018401803,0.957715959,0.226864451,0.263550514,5,2,0.999039613
HG00531,-0.262565219,-0.963756613,-2.146477396,0.160610511,3,2,0.333146839
HG00533,-0.348702093,0.737545576,-0.945916084,-1.714503664,5,1,0.528059381
HG00534,-1.008136433,0.463755788,-0.138991984,1.123615891,3,1,0.183817362
HG00536,0.663852708,0.457303946,0.020930604,-1.383404348,3,4,0.795590497
HG00537,0.449572995,-0.188788039,-0.236528847,0.322420399,3,2,0.137983094
HG00542,-0.25005175,-0.595812188,-0.969188269,-0.093829015,5,5,0.708861025
HG00543,0.066059809,-0.294617329,0.141125917,-1.705188611,1,5,0.623580159
HG00551,-0.651004361,-0.466896071,0.555063379,0.854435852,3,6,0.723502456
HG00553,-0.062557471,0.983103066,1.173695721,1.971358627,5,3,0.01639254
HG00554,-0.097512292,-0.737748687,0.130289113,-0.593892695,4,5,0.872232951
HG00556,-1.024098642,-1.252640975,-0.680895988,0.277789235,1,4,0.627684349
HG00557,0.398465357,1.865263217,-1.333610275,0.367420192,1,6,0.439990872
HG00559,1.647324055,-1.457615751,0.692064235,-0.245627021,1,4,0.050058261
HG00560,0.292996188,0.213300266,0.166955249,2.505167473,5,3,0.840282742
HG00565,0.138145574,-0.954269185,-1.096190674,-0.047591928,5,2,0.789540727
HG00566,1.252944692,1.016835448,0.445992536,-1.293171766,3,6,0.375762186
HG00580,-1.484445545,0.259603067,-0.204590704,-0.4950144,3,5,0.168209087
HG00581,0.339956911,1.791622726,-0.562920856,0.023107679,2,1,0.313617972
HG00583,-0.566220846,0.469712346,0.303350537,-0.971838033,1,4,0.798914101
HG00584,-0.663524681,0.304763232,-0.964367681,-2.450540123,3,4,0.26420133
HG00589,0.393973778,0.309884615,0.34971521,3.337644578,1,6,0.506576848
HG00590,0.285272234,0.145937739,0.153897773,0.690261167,3,6,0.162550204
HG00592,1.04262827,0.518387148,-0.070903128,-1.261976322,5,5,0.691157978
HG00593,-0.308326087,0.307382486,-0.119310852,-0.528823704,3,5,0.183519783
HG00595,-0.164112307,-1.216823662,0.145561425,-0.592399354,4,4,0.34826121
HG00596,-1.21261398,-0.293035613,1.691175365,0.114448464,4,1,0.660494434
HG00598,-0.401500066,0.725102927,-0.81945154,0.192910012,3,2,0.588399547
HG00599,-0.383008577,-0.289330596,1.475263576,-0.02698393,1,3,0.864563401
HG00607,0.664401174,0.388438582,-0.061980874,0.192655127,3,3,0.726487768
HG00608,0.039226947,-1.720501089,0.620804757,-0.619561898,4,3,0.547795828
HG00610,-0.167098422,-2.130070812,0.12096059,0.019409882,5,6,0.188428441
HG00611,0.928579867,0.178564228,0.794764449,-0.118983727,5,2,0.4665369
HG00613,0.866549094,0.119895251,-0.323449439,-2.012670929,2,5,0.358367254
HG00614,0.692840955,-0.234343212,-0.414741767,1.257257892,2,2,0.978840922
HG00619,-0.423773571,0.222377138,-0.009673019,-0.187729226,5,5,0.831805097
HG00620,-0.695276379,0.398448378,-0.160299542,0.36148953,5,2,0.902627582
HG00622,-0.224364892,1.269767255,2.301642757,0.21726116,3,6,0.969821626
HG00623,-0.594001362,0.125469674,1.979838765,0.857204692,1,1,0.826213296
HG00625,-0.682666055,0.73277027,0.622147827,0.016648081,4,1,0.286144807
HG00626,0.628070881,-0.992325105,-0.07575186,-0.640589342,4,1,0.720511276
HG00628,0.015398646,-0.006759,-1.102685988,-1.96778418,5,1,0.372873629
HG00629,-1.1301418,0.11378039,-0.712634005,-0.018512902,4,4,0.665162262
HG00631,0.609998951,1.119580323,-1.70800758,0.644315696,5,3,0.872629304
HG00632,-0.749972053,0.650380228,-1.121011618,0.436787063,1,2,0.410739559
HG00634,-0.854028015,-2.996571807,-0.194941014,0.638160743,2,1,0.978139244
HG00637,0.910166278,0.746838218,-0.498653001,1.345736168,3,5,0.527190389
HG00638,-1.761122321,0.215109046,0.50226778,1.177537042,3,1,0.488874678
HG00640,-2.998495196,-0.720791492,0.89698488,-1.284983863,5,4,0.790808065
HG00641,-0.051585421,1.727063066,0.559156109,1.392977307,5,3,0.780823808
HG00650,0.93190767,0.239817795,-1.236729559,-1.794668425,1,1,0.046218312
HG00651,0.679756306,1.740228604,1.549524186,-0.23274172,1,5,0.660942703
HG00653,-1.287662591,1.188035376,-0.874532532,1.412653736,5,6,0.684005331
HG00654,-0.340220472,-3.010130693,0.837147047,0.203271892,4,1,0.478149071
HG00656,1.004096319,-1.879646018,0.503388963,-0.512840748,5,1,0.841654241
HG00657,1.119253799,0.236598899,0.232922685,0.33404607,4,3,0.886079033
HG00662,1.074749949,-1.005643908,-0.895692224,0.152987894,2,2,0.009739593
HG00663,-2.562256877,-1.306028796,0.244742364,-0.835142147,5,3,0.692720844
HG00671,0.194618836,-0.90281291,-0.20507564,-0.825666961,1,2,0.009337309
HG00672,1.994333192,2.245977012,0.528454523,0.48807076,2,5,0.930637122
HG00674,-0.012242832,1.172373979,0.766688852,-1.950323007,2,5,0.21432662
HG00675,1.67500208,1.446554519,0.591540541,-0.186818379,1,2,0.371564579
HG00683,1.465244834,-0.931046465,-0.092666765,2.456236254,4,4,0.438399926
HG00684,-1.264532885,-0.601981148,-0.427922104,-0.308529546,2,3,0.46890536
HG00689,1.305849795,0.956643215,0.017189682,0.3827348,5,2,0.845576712
HG00690,-0.582119524,0.741220193,0.471300595,-0.074921411,3,6,0.960975368
HG00692,-0.904847108,1.529022023,-1.54385934,0.064548433,4,2,0.939463763
HG00693,-1.559499634,-0.336407229,0.047542879,1.151338423,4,2,0.732665495
HG00698,0.485282528,0.012884662,-0.707589487,1.297520753,3,3,0.044475728
HG00699,0.434332306,0.039065202,-0.831092409,0.601927823,2,1,0.776840515
HG00701,-0.529737733,1.039722319,0.275933948,0.179041052,3,1,0.836447054
HG00704,-0.919146921,-0.128038137,0.882119189,-0.116432659,3,3,0.010718685
HG00705,-0.219072096,-3.944335837,0.641606896,-0.862114681,5,5,0.264543983
HG00707,-0.390087391,0.222345044,0.90417096,0.105228824,5,2,0.57275222
HG00708,-0.844364354,-0.306397086,-1.837771955,0.468056741,5,6,0.157378178
HG00717,-0.494770278,-0.724947958,0.419867664,-1.568248534,5,3,0.818873342
HG00728,0.106901594,-0.985893002,-0.474691741,1.184477652,4,4,0.806505167
HG00729,0.209206814,0.41072558,-0.944676546,0.877478519,2,2,0.396763417
HG00731,-0.55465138,1.845512373,1.218651884,-0.082187288,3,2,0.919682882
HG00732,1.779130602,-0.043600173,-0.32610074,0.789555888,1,6,0.380963085
HG00734,-1.422829522,-0.113700057,-0.355498238,1.679387958,5,2,0.416456893
HG00736,-0.670466699,-0.527048153,-0.799473574,1.12431035,5,4,0.542960239
HG00737,0.952856266,1.354385165,0.333390231,-0.513676741,5,2,0.781396411
HG00739,0.806528367,0.483603392,0.730822999,-1.466466447,4,6,0.811221442
HG00740,-0.674244286,-1.033626896,-0.172833375,-0.345676483,1,4,0.35827264
HG00742,-1.23308372,1.133988635,-0.438400224,-0.343757571,2,3,0.49652533
HG00743,-0.798877086,1.945497117,-1.58567998,0.608170947,4,1,0.473505142
HG00759,0.481398179,-0.663789536,-0.838118873,1.703103108,5,5,0.96604856
HG00766,0.715475154,-0.549287593,-0.798219837,-0.160839977,2,6,0.694411626
HG00844,-0.096109595,-0.99954502,2.590575581,-0.742542707,3,3,0.121743257
HG00851,-1.942099113,-0.185590281,-0.098457692,-0.494303114,4,5,0.663766716
HG00864,-0.228258294,-0.089711933,-0.479644806,0.278678135,5,4,0.400029202
HG00867,1.652098928,0.477151785,1.845557931,0.949803463,4,5,0.577931164
HG00879,1.31801575,0.637023872,0.308299532,0.764864722,1,5,0.425155018
HG00881,1.267721122,0.695263573,0.14273263,-0.924495634,3,2,0.861655981
HG00956,0.586683775,-0.448586174,0.608964406,0.807470231,1,6,0.625271512
HG00978,-1.89551603,0.844654359,0.001129731,-0.028039933,4,3,0.03877104
HG00982,-1.280776707,0.177247648,-1.430579032,0.273130973,2,4,0.314285051
HG01028,0.062497919,0.056693487,0.683795663,1.6155539,5,4,0.732670459
HG01029,-0.843295335,0.784439291,0.03968064,-0.91920345,2,5,0.478831531
HG01031,-0.37539712,0.35271957,-0.331976524,-0.828826456,4,5,0.661373476
HG01046,0.309588453,-0.699829073,-0.411050191,-0.56967731,2,5,0.00759891
HG01047,-0.077162083,-1.401183902,1.16167738,-0.327837876,4,3,0.982140821
HG01048,-0.228682467,2.653888161,-1.273622049,-0.676331158,3,1,0.276983565
HG01049,-1.433949699,0.187097104,-1.278761375,0.41768509,1,6,0.514238437
HG01051,-0.378137905,-0.017366467,-0.519651917,-0.410878087,3,3,0.445461089
HG01052,-0.183514237,0.258102735,-0.416541868,0.338961693,5,5,0.885290996
HG01054,0.721658038,0.217000691,0.655616081,-1.833770719,5,4,0.91520256
HG01055,1.326718507,-1.245323209,1.760773018,1.513114816,4,6,0.473290159
HG01058,-0.057014135,-0.410562507,1.807790938,-1.085274766,2,5,0.468176912
HG01060,0.160596646,0.227113657,-0.227304994,-0.800198827,4,2,0.588967964
HG01061,1.197870194,0.01380121,-0.839088617,-1.02616371,4,2,0.270116989
HG01063,-1.194609126,-0.83807305,-0.621641965,1.166775854,1,5,0.971375523
HG01064,0.424505767,-0.023744473,0.593966557,1.035265618,2,3,0.394828164
HG01066,-1.386443582,-1.25764955,0.702674829,0.504875116,5,3,0.746016237
HG01067,-0.574847051,-1.925288877,-0.141047345,1.04705868,3,2,0.502845824
HG01069,0.953627027,0.999183397,0.789392684,3.05797507,1,3,0.028212976
HG01070,-0.159311367,2.912547717,0.455374726,0.003212588,4,2,0.029534488
HG01072,0.908258032,-0.448648714,-0.267446631,0.72221898,2,4,0.696960322
HG01073,0.21392547,1.798795535,0.310204125,-0.509515991,4,3,0.018443023
